timestamp,ph,ntu,temperature,humidity,waterTemp
2026-05-19T14:11:29.714Z,3.58,243.7,20.9,62,17.75
2026-05-19T14:11:39.547Z,3.57,248.4,20.9,62.6,17.75
2026-05-19T14:11:49.282Z,3.56,243.2,20.9,62.7,17.75
2026-05-19T14:11:59.521Z,3.57,207.9,20.8,60.8,17.75
2026-05-19T14:12:09.662Z,3.58,215.6,20.8,59.7,17.75
2026-05-19T14:12:19.679Z,3.56,201.1,20.6,58.7,17.75
2026-05-19T14:12:29.634Z,3.55,207.7,20.5,58.8,17.75
2026-05-19T14:12:39.776Z,3.58,211.8,20.3,59.1,17.75
2026-05-19T14:12:50.095Z,3.56,204.1,20.2,59.5,17.75
2026-05-19T14:12:59.947Z,3.6,209.8,20.1,59.6,17.75
2026-05-19T14:13:10.176Z,3.57,210.4,19.9,59.9,17.69
2026-05-19T14:13:20.317Z,3.56,212.1,19.8,60.6,17.75
2026-05-19T14:13:30.451Z,3.56,215.4,19.8,60.6,17.75
2026-05-19T14:13:40.606Z,3.56,197.9,19.6,60.8,17.75
2026-05-19T14:13:50.617Z,3.55,197.3,19.5,62.3,17.75
2026-05-19T14:14:00.355Z,3.57,195.6,19.5,62.7,17.75
2026-05-19T14:14:10.285Z,3.56,195.9,19.5,63.5,17.75
2026-05-19T14:14:20.111Z,3.56,192.3,19.4,62.6,17.75
2026-05-19T14:14:29.959Z,3.57,197.3,19.4,62.4,17.75
2026-05-19T14:14:39.780Z,3.56,194.9,19.3,62.6,17.75
2026-05-19T14:14:49.822Z,3.57,196,19.3,63,17.75
2026-05-19T14:14:59.964Z,3.55,195.4,19.3,63.2,17.75
2026-05-19T14:15:09.890Z,3.56,195.1,19.2,63.1,17.75
2026-05-19T14:15:19.817Z,3.58,193.7,19.2,62.8,17.75
2026-05-19T14:15:30.078Z,3.53,195.9,19.2,63,17.75
2026-05-19T14:15:39.988Z,3.56,186.4,19.2,62.9,17.75
2026-05-19T14:15:49.851Z,3.56,186.9,19.2,64.1,17.75
2026-05-19T14:15:59.447Z,3.56,186.6,19.2,65.1,17.75
2026-05-19T14:16:09.083Z,3.56,188.3,19.2,63.2,17.75
2026-05-19T14:16:18.528Z,3.56,188,19.2,62.9,17.75
2026-05-19T14:16:28.122Z,3.56,182.8,19.2,63,17.75
2026-05-19T14:16:37.757Z,3.57,184.7,19.1,63,17.75
2026-05-19T14:16:47.367Z,3.57,180.4,19.1,62.2,17.75
2026-05-19T14:16:57.048Z,3.55,180.3,19,62.3,17.75
2026-05-19T14:17:09.480Z,3.56,173.8,19,62.5,17.75
2026-05-19T14:17:19.093Z,3.56,177.3,19,62.5,17.75
2026-05-19T14:17:28.741Z,3.54,163.2,19,62.8,17.75
2026-05-19T14:17:38.360Z,3.56,171.3,18.9,63.1,17.75
2026-05-19T14:17:47.991Z,3.57,170.5,18.9,62.9,17.75
2026-05-19T14:17:57.618Z,3.55,167.8,18.9,62.8,17.75
2026-05-19T14:18:07.133Z,3.54,170.7,18.9,62.7,17.75
2026-05-19T14:18:16.762Z,3.56,178.2,18.8,62.9,17.75
2026-05-19T14:18:26.914Z,3.56,189.7,18.9,63.8,17.75
2026-05-19T14:18:36.834Z,3.58,194.5,19,64.3,17.75
2026-05-19T14:18:46.874Z,3.55,190.4,19.1,64.7,17.75
2026-05-19T14:18:56.806Z,3.56,190.4,19.2,64.7,17.75
2026-05-19T14:19:06.897Z,3.57,193,19.3,63.9,17.75
2026-05-19T14:19:16.860Z,3.58,190.2,19.4,64.1,17.75
2026-05-19T14:19:26.807Z,3.58,194.5,19.5,63.7,17.75
2026-05-19T14:19:36.737Z,3.56,202.8,19.6,62.8,17.75
2026-05-19T14:19:46.689Z,3.55,192.6,19.7,63.2,17.75
2026-05-19T14:19:56.499Z,3.59,212.9,19.8,62.1,17.75
2026-05-19T14:20:06.274Z,3.56,206.6,20,62.1,17.75
2026-05-19T14:20:16.282Z,3.55,208.2,20.2,63.4,17.75
2026-05-19T14:20:27.022Z,3.58,203.9,20.3,62.9,17.75
